Years,Team,Conf,AdjO,AdjO Rank,AdjD,AdjD Rank,AdjT,AdjT Rank,Luck,Luck Rank,,,
2015,Wisconsin ,B10,129,1,95.2,35,58.7,345,0.015,146,,,
2018,USC Upstate,ASun,105.2,167,125,351,69,124,-0.051,297,,,
2021,Gonzaga ,WCC,126.4,1,89.9,11,73.8,7,0.022,127,,,
2017,Oklahoma St. ,B12,126,1,103.5,155,70.4,66,-0.071,324,,,
2015,Notre Dame ,ACC,125.4,2,100.4,99,63.4,226,0.062,47,,Median Offensive Rating,Median Defensive Rating
2012,Missouri ,B12,125.1,1,99.8,111,65.4,152,0.017,130,,,
2021,Baylor ,B12,125,2,91.1,22,67.4,213,0.046,80,,,
2011,Ohio St. ,B10,125,1,91.5,12,63.8,250,0.031,103,,,
2014,Duke ,ACC,124.7,1,100.4,86,64.6,179,-0.035,255,,,
2019,Gonzaga ,WCC,124.5,1,91.6,12,70.2,62,-0.001,180,,,
2015,Duke ,ACC,124.5,3,92,11,65.8,104,0.067,38,,,
2016,North Carolina ,ACC,124.4,1,94.6,21,70.5,60,-0.055,305,,,
2005,Wake Forest ,ACC,124.3,1,99.5,89,68.9,56,0.046,65,,,
2023,Gonzaga,WCC,124.2,1,100,74,70.2,47,0.047,73,,,
2014,Creighton ,BE,124.2,2,102.5,124,63.6,237,0.024,128,,,
2017,UCLA ,P12,124,2,100.4,85,72.6,20,0.021,132,,,
2014,Michigan ,B10,123.9,3,100.5,89,61,330,0.047,76,,,
2021,Iowa ,B10,123.5,3,96.7,75,69.9,93,-0.027,244,,,
2019,Virginia ,ACC,123.4,2,89.2,5,59.4,353,0.05,62,,,
2016,Michigan St. ,B10,123.4,2,95.5,26,66.5,254,-0.012,210,,,
2009,North Carolina ,ACC,123.2,1,92.1,18,72.9,6,-0.011,195,,,
2016,Villanova ,BE,122.8,3,90.8,5,66,274,0.023,114,,,
2007,Florida ,SEC,122.8,1,92,13,65.8,162,0.028,110,,,
2019,Tennessee ,SEC,122.7,3,96.5,42,67.8,164,0.034,96,,,
2018,Bryant,NEC,98.7,283,120.7,350,70.1,74,-0.013,210,,,
2015,Villanova ,BE,122.7,4,92,12,64.2,183,0.031,104,,,
2019,Purdue ,B10,122.5,4,95.6,34,65.9,268,-0.015,224,,,
2005,North Carolina ,ACC,122.5,2,89.7,5,73.1,7,0.011,135,,,
2018,Samford,SC,107.7,119,119.7,349,71.2,47,-0.036,272,,,
2017,Villanova ,BE,122.4,3,92.5,12,64.1,324,0.01,166,,,
2017,Michigan ,B10,122.3,4,99.2,69,63.1,338,-0.025,252,,,
2011,Wisconsin ,B10,122.3,2,96.5,52,56.9,344,-0.003,191,,,
2005,Illinois ,B10,122.3,3,89.6,4,64.1,249,-0.007,179,,,
2012,Kentucky ,SEC,122.2,2,89.6,7,65.4,150,0.032,86,,,
2008,North Carolina ,ACC,122.1,1,91.9,14,72.5,9,0.05,55,,,
2014,Wisconsin ,B10,122,4,96.1,35,62.4,286,0.019,133,,,
2007,Georgetown ,BE,122,2,93.5,21,59.4,327,0.006,163,,,
2017,Kansas ,B12,121.9,5,94.5,24,70.2,72,0.067,32,,,
